id,ship_name,voyage_id,date,effy_share,revenue_ss,revenue_cc,eu_revenue,carnival_share,office_supplies,discount_share,exec_folio,cc_fee_ss,cc_fee_direct,meal_charge,parole_fee,cash_advance,cash_paid_onboard
520,FREEDOM,FD20230112004,1/12/23,"$28,656.42 ","$27,723.00 ","$20,434.00 ",,"($18,299.66)",,,($57.01),($374.36),($449.55),($320.00),,,
521,FREEDOM,FD20230116005,1/16/23,"$41,992.66 ","$35,992.00 ","$34,613.00 ",,"($26,829.90)",,,($134.06),($486.89),($761.49),($400.00),,,
522,FREEDOM,FD20230121005,1/21/23,"$40,279.88 ","$45,675.00 ","$22,054.00 ",,"($25,737.02)",,,($178.38),($648.53),($485.19),($400.00),,,
523,FREEDOM,FD20230126004,1/26/23,"$14,280.28 ","$14,371.00 ","$10,050.00 ",,"($9,279.98)",,,($124.57),($195.07),($221.10),($320.00),,,
524,FREEDOM,FD20230130005,1/30/23,"$28,845.80 ","$13,259.00 ","$35,737.00 ",,"($18,618.48)",,,($172.21),($173.30),($786.21),($400.00),,,
525,FREEDOM,FD20230204005,2/4/23,"$26,867.01 ","$18,974.00 ","$26,613.00 ",,"($17,323.06)",,,($168.00),($243.44),($585.49),($400.00),,,
526,FREEDOM,FD20230209004,2/9/23,"$10,406.65 ","$12,823.00 ","$5,075.00 ",,"($6,801.24)",,,($85.30),($173.16),($111.65),($320.00),,,
527,FREEDOM,FD20230213005,2/13/23,"$29,327.95 ","$23,569.00 ","$26,087.00 ",,"($18,869.28)",,,($174.94),($309.92),($573.91),($400.00),,,
528,FREEDOM,FD20230218005,2/18/23,"$30,490.84 ","$30,215.00 ","$21,215.00 ",,"($19,543.40)",,,($131.52),($397.51),($466.73),($400.00),,,
529,FREEDOM,FD20230223004,2/23/23,"$32,957.96 ","$31,234.00 ","$24,148.00 ",,"($21,045.16)",,,($89.77),($437.85),($531.26),($320.00),,,
530,FREEDOM,FD20230304005,3/4/23,"$32,158.86 ","$27,659.00 ","$26,804.00 ",,"($20,695.94)",,,($244.34),($374.17),($589.69),($400.00),,,
531,FREEDOM,FD20230227005,2/27/23,"$21,463.36 ","$24,558.00 ","$12,043.00 ",,"($13,908.38)",,,($230.64),($333.67),($264.95),($400.00),,,
532,FREEDOM,FD20230323004,3/23/23,"$22,030.98 ","$17,951.00 ","$19,299.00 ",,"($14,155.00)",,,($78.85),($240.59),($424.58),($320.00),,,
533,FREEDOM,FD20230327005,3/27/23,"$11,198.26 ","$10,197.50 ","$9,295.00 ",,"($7,407.15)",,,($157.68),($124.92),($204.49),($400.00),,,
534,FREEDOM,FD20230401005,4/1/23,"$10,537.86 ","$8,550.00 ","$9,870.00 ",,"($6,999.60)",,,($157.09),($108.31),($217.14),($400.00),,,
535,FREEDOM,FD20230406004,4/6/23,"$37,231.24 ","$33,500.00 ","$28,858.00 ",,"($23,696.04)",,,($45.73),($430.11),($634.88),($320.00),,,
536,FREEDOM,FD20230410005,4/10/23,"$35,299.62 ","$32,045.00 ","$27,325.00 ",,"($22,560.60)",,,($95.65),($412.98),($601.15),($400.00),,,
537,GLORY,GL20211010007,11/1/21,"$38,708.94 ","$35,056.00 ","$30,391.00 ",,"($24,899.88)",,$39.50 ,($195.26),($443.10),($662.52),($576.80),,,
538,GLORY,GL20210817014,8/17/21,"($1,483.20)",,,,"($1,483.20)",,,,,,,,,
539,GLORY,GL20210904021,9/4/21,"($1,071.20)",,,,"($1,071.20)",,,,,,,,,
540,GLORY,GL20210917002,9/17/21,($164.80),,,,($164.80),,,,,,,,,
541,GLORY,GL20210919007,9/19/21,"$65,007.73 ","$50,501.00 ","$58,696.00 ",,"($41,494.86)",,,($219.76),($618.28),"($1,279.57)",($576.80),,,
542,GLORY,GL20210926007,9/26/21,"$57,895.86 ","$60,716.00 ","$36,361.00 ",,"($36,889.26)",,,($134.86),($787.55),($792.67),($576.80),,,
543,GLORY,GL20211003007,10/3/21,"$62,233.95 ","$31,025.00 ","$73,672.00 ",,"($39,822.48)",,$49.50 ,($126.91),($380.31),"($1,606.05)",($576.80),,,
544,GLORY,GL20211017007,10/17/21,"$46,472.70 ","$53,587.50 ","$24,513.00 ",,"($29,678.19)",,,($160.75),($677.68),($534.38),($576.80),,,
